V1,V2,V3,V4,V5,Q3,Q5_1_TEXT,Q5_3_TEXT,Q5_4_TEXT,Q5_5_TEXT,Q5_6_TEXT,Q5_7_TEXT,Q7,Q152,Q9,Q162,Q11,Q150_1,Q150_2,Q150_3,Q150_4,Q13,Q161,Q15,Q134,Q18,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q135_1,Q135_2,Q135_3,Q135_4,Q93,Q95,Q97,Q99,Q1522,Q136,Q154,Q155,Q156,Q157,Q158,Q159,Q160,Q1613,Q1624,Q137_1,Q137_2,Q137_3,Q137_4,Q113,Q114,Q115,Q116,Q153,Q139,Q163,Q164,Q165,Q166,Q167,Q168,Q169,Q170,Q171,Q138_1,Q138_2,Q138_3,Q138_4,Q117,Q118,Q119,Q120,Q1545,Q141,Q181,Q182,Q183,Q184,Q185,Q186,Q187,Q188,Q189,Q140_1,Q140_2,Q140_3,Q140_4,Q121,Q122,Q123,Q124,Q1556,Q143,Q199,Q200,Q201,Q202,Q203,Q204,Q205,Q206,Q207,Q142_1,Q142_2,Q142_3,Q142_4,Q125,Q126,Q127,Q128,Q1567,Q145,Q172,Q173,Q174,Q175,Q176,Q177,Q178,Q179,Q180,Q144_1,Q144_2,Q144_3,Q144_4,Q129,Q130,Q131,Q132,Q1578,Q147,Q217,Q218,Q219,Q220,Q221,Q222,Q223,Q224,Q225,Q146_1,Q146_2,Q146_3,Q146_4,Q133,Q1349,Q135,Q13610,Q15811,Q149,Q190,Q191,Q192,Q193,Q194,Q195,Q196,Q197,Q198,Q148_1,Q148_2,Q148_3,Q148_4,Q137,Q138,Q13912,Q140,Q15913,Q14914,Q208,Q209,Q210,Q211,Q212,Q213,Q214,Q215,Q216,Q148_115,Q148_216,Q148_317,Q148_418,Q14119,Q142,Q14320,Q144,Q16021,Q146,Q148,Q150,Q152_1,Q152_2,Q152_3,Q152_4,Q152_5,Q152_6,Q152_7,Q152_8,Q152_8_TEXT,Q15422,Q15623,Q15824
R_2Vr55WHDqduoqWl,Default Response Set,9/4/16 12:30,9/4/16 16:47,1,1,Firefox,Windows NT 10.0,1366x768,22.0.0,1,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0,1,1,1,,1,0,0,38.18,0,2,24,1,1,,,,,,1,,,,1,1.524,1.524,59.354,1,A newspaper is better than a magazine. A seashore is better than a street. Children can learn how to do it.,How to Do Something,,1,24,1,,,,,,,,1,,0,0,44.244,0,"Hero, scornful, laughter, jewels financing him. Christopher Columbus. Three sisters.",An Adventure Tale,,,24,1,,,,1,,,,,,0,0,59.158,0,"The procedure is simple. You divide it into piles, but one can be enough. You put it in the machine if you have one, or go to one. Then you put the rest in another and watch it go. Then you take it home and do it again.",Building Something,,1,24,1,,,,,,,,,1,50.706,50.706,52.255,1,"Bright, sunny, dry day. You will want a dry, flat surface. Straight is better than crooked. Mirrors for visibility. Wear something on your head. You can borrow a friend's. Riding a bike is easy.",How to Ride a Bike,,,24,1,1,,,,,,,,,2.332,44.285,7143.243,2,"It seemed like hours since I called. Finally it came, a little thin. It was hot, but I was hungry. I grabbed a piece, hot oil dripped and splashed my hand. I dropped it. Maybe I could wait a few more minutes. ",Pizza,1,,24,1,,,1,,,,,,,5.516,46.643,47.491,3,It was intimidating at first. You have to press the black things and a light shows. I wanted to tell it what to do. It seemed to get my message. I learned how to use my new machine.,How to Use a Computer,1,,24,1,,,,,1,,,,,17.764,17.764,46.175,1,"It was a while since I did the task, it was time to do it again. I removed the old thing and threw it away. I grabbed a new one from the top of the pile and secured the tabs so that they were snug. I hoped the cloth wasn't too wet.",Mopping,,1,24,1,,1,,,,,,,,0,0,46.386,0,"He knew people were for and against him. He had to get them on his side. As a boy, he was poor. As a man, he towered over them. He wrote and spoke trying to persuade. It was for descendants after him.",Abraham Lincoln,1,,24,1,,,,,,,1,,,16.479,16.479,46.21,1,The conditions were right. I waited for this. My snowman looked complete. The stuff stuck to me. ,Building a Snowman,,,24,5,3,2,1,,,,,,,,,1,,1
R_1Nypu1FoLqjTiFK,Default Response Set,9/4/16 16:53,9/4/16 17:21,1,1,Chrome,Macintosh,1280x800,22.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.009,0,2,24,1,1,,,,,,1,,,,1,0,0,59.01,0,a rock will anchor it.  ,philosophy ,,1,23,1,,,,,,,,,1,0,0,44.012,0,Jewels ,getting finances ,,,23,1,,1,,,,,,,,0,0,59.009,0,The operation is simple if you have all you need.  You take groups and put them in the machine.  ,Laundry ,1,,24,1,,,,1,,,,,,35.627,35.627,52.006,1,You want to be outdoors.  sun is nicer than wind or rain. Beginners like it,weather,,1,24,1,,,1,,,,,,,0,0,50.037,0,It seemed like hours since i had called.  i pulled on it and hot oil hit.  i was hungry but thought i could wait a few minutes ,waiting on food ,1,,24,1,,,,,,,1,,,0,0,47.01,0,I got a new laptop.  It felt like it would break when you opened it.  there was a black dot on the screen ,A laptop ,,,24,1,,,,,,,,1,,0,0,46.02,0,It had been awhile since I had to do this task and I figured it was about time for me to do it again.  I took a damp paper towel and cleaned it up.  I threw the diaper away ,changing a diaper ,,,24,1,,,,,1,,,,,0,0,46.014,0,He felt that he had a great responsibility to persuade the people who were against him to his side.  bed.,persuasion and responsibility ,,1,24,1,1,,,,,,,,,0,0,46.011,0,I had been waiting several seasons for this.  The outdoors felt better than the indoors.  The matter stuck to my clothes and hands. ,building a snowman ,1,,24,5,3,1,1,,,,,,,,,1,the errors with the video playback I experienced were caused by my own internet connection.,1
R_CamifFmK1TiRE3v,Default Response Set,9/4/16 17:42,9/4/16 18:14,1,1,Chrome,Macintosh,1366x768,22.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.018,0,2,24,1,1,,,,,,,,1,,1,0,0,59.01,0,"The seashore is better than the street.  At first, running may be better than walking. Rain, makes things soaked. Try to read this paragraph. + ",Things being better than others.,,,24,1,,,,,,,,,1,0,0,44.01,0,"Christopher Columbus knew he was right.  ""Your eyes are devious"", he said. He got to achieve through using pawned jewels. The use of deviation leads to success.",Robbery,,,24,1,,,,1,,,,,,0,0,59.008,0,"The whole thing can be a pain.  All things were put into one machine.  You watched them go round and round incase something went wrong.  It is a simple procedure.  After all things are done in one machine you put them in another.  After all things are used, you must do the procedure again.  It does take some time.",Doing laundry,,1,24,1,,,,,,1,,,,0,0,52.01,0,"You will want to be outdoors.  A sunny, dry day is better than a cloudy, wet one.  You will want to try the straight roads instead of windy, curvy ones.  You will want to protect your head and have a good fitting suit.  Good conditioned parts are better than old ones. Once learning the right techniques it can be an efficient way to travel.",Bike,,1,24,1,,,,,1,,,,,0,0,50.007,0,It was very hot.  I poured some out but on the outside the substance burned my hands.  There was an elastic end.  I pulled on it with force.  ,Tea Kettle,,1,24,1,,1,,,,,,,,0,0,47.011,0,"I was learning to use my new machine. On the top showed images in color.  By pushing on black boxes, letters appeared on the top half. By scanning my hand on the bottom half, images moved and appeared. ",A computer,1,,24,1,,,,,,,1,,,0,0,46.01,0,"I was hoping the diaper would not leak.  This is the first time I have done this task for a while and thought it should be done.  I took the dirty diaper off and threw it in the trash.  I grabbed a new one off the shelf and laid it flat.  I stuck the tabs in the middle and wrapped extra fabric around it.  It looked like it was on snug, but not too tight.",Putting on a diaper.,,,24,1,1,,,,,,,,,0,0,46.009,0,"(Picture of Abraham Lincoln) He had no money as a boy.  Now, he has a big task ahead of him.  He towers over others in leadership and power.  He had good stature and had to face problems of moral issues.  Many people were for him and against him.  ",Abraham Lincoln,1,,24,1,,,1,,,,,,,0,0,46.009,0,This seemed to be the perfect season.  The outdoors was now comparing with the indoors.  I used my art to form molds.  I made one then a couple more.  I added more details using rocks and sticks.  It then was complete.,Building a snowman,1,,24,3,1,2,1,,,,,,,,,1,,1
R_sU2jTepAnXnK0Jb,Default Response Set,9/4/16 17:39,9/4/16 18:35,1,1,Chrome,Windows NT 10.0,1366x768,22.0.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.004,0,2,24,1,1,1,,,,,,,,,0,0,0,59.008,0,It is very simple. Choose to do it on a nice day. Rain will soak in it too fast. Other people doing it too will cause problems. It is easy to learn and will take some time. It will take several times but it is easy to learn in steps. It is like running you have to learn how to walk first.,Flying a kite,1,,24,1,,,,,,,,,1,0,0,44.007,0,Christopher Columbus knew that he was right,Sailing,,,24,1,,1,,,,,,,,0,0,59.008,0,The whole thing can be a pain. You have to be there for the whole time. Then you will take everything home to arrange it in order. Then everything will be used again. You have to put it in a machine. Then move it to another machine watching it get flipped around.,Laundry,1,,24,1,,,1,,,,,,,0,0,52.007,0,Straight paths are easier than a curvy or rocky pathway. You need to make sure you find one that fits your size. You can add mirrors to add more ways to look around.,Bicycle ,1,,24,1,,,,,,1,,,,0,0,50.007,0,It had been hours since I had called. There was also a picture of a pencil. Fibers were pulling so I decided to pull it from another way. Hot oil landed on my hand.,Some one was wanting to talk to someone then could not focus on any other task.,,1,24,1,,,,,1,,,,,0,0,47.007,0,Turning the squares on a page as one goes from black. ,Book,,1,24,1,,,,,,,1,,,0,0,46.004,0,"I was hoping that the diaper would not leak.  I used a damp cloth to clean the bottom off. I threw away the used one to get a new one. I grabbed from the top and slid on the new one. I used to tabs to secure it in place. It had been awhile since I have done this, so I decided to do it again.",Diaper change,,,24,1,,,,,,,,1,,0,0,46.008,0,He knew that everyone was either with him or against him. He had a feeling like he had to have everyone on his side. He had a need to be like Abraham Lincoln.,To have everyone need him,,,24,1,,,,,1,,,,,0,0,46.005,0,My creation is complete. The use of sticks and rocks.,Building something,,1,23,2,1,2,1,,,,,,,,,1,,1
R_1Ho666bLtJ6TGE2,Default Response Set,9/4/16 20:28,9/4/16 20:55,1,1,Chrome,Windows NT 10.0,1366x768,22.0.0,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,12.925,12.925,38.032,1,3,24,1,1,,,1,,,,,,,1,0,0,59.017,0,"Birds seldom get too close. At first, it is better to run than to walk. You may have to try several times. It takes some skill",Walking outside,0,,24,1,1,,,,,,,,,0,0,44.018,0,Passengers came from nowhere. Days turned into weeks.,Sailor,1,,24,1,,,,1,,,,,,0,0,59.011,0,,n/a,,0,23,1,,,,,,,,1,,2.657,51.375,52.013,2,"Protecting your head is a good idea. Moving fast or slow is up to you. Beginners like a smooth surface. You should be outdoors. You would like a sunny dry day, instead of a dark rainy day. ",Everyday sayings,,,24,1,,,,,,,,,1,0,0,50.019,0,"Drops of hot oil hit my hand. Finally, it arrived. The smell was so strong. I wondered if it was too hot to touch. It was colored richly.",Waiting for delivery pizza,,,24,1,,,,,,,1,,,6.315,6.315,47.027,1,"It seemed to get my message through the black squares. Opening it seemed like I would almost break it in half but the top and bottom stayed together. Pushing a black square caused a light to flash. When I hit the black keys, it causes the images on the top half to change. ",Understanding a new laptop,,,24,1,,1,,,,,,,,0,0,46.017,0,"I took a new one off the top. With a damp cloth, I wiped up any mess. I removed the old one and threw it away. ",Changing a diaper,1,,24,1,,,,,1,,,,,0,0,46.015,0,"Bed. As a man, he towered over others in stature, power, and learning.  As a boy he had no money. He believed his cause was just. He had a tremendous task in front of him. ",Moral responsibility ,,1,24,1,,,,,,1,,,,0,0,46.018,0,Parts stuck to my clothes and hands. Outdoors seemed brighter than indoors. It started to take shape. I was looking forward to this for a couple seasons. The time seemed right. ,Completing a project,,1,24,2,1,2,1,,,,,,,,,1,,1
R_3Myw0sIeQeHWVbW,Default Response Set,9/4/16 20:46,9/4/16 21:06,1,1,Chrome,Macintosh,1280x800,22.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.011,0,4,24,1,1,,,,,,,1,,,1,0,0,59.013,0,"Kite, newspaper better than magazine, Rock anchor, peaceful",Flying a kite,,,24,1,,,,,,,,1,,0,0,44.007,0,"Christopher columbus, defied all odds ",Christopher columbus exploring,,,24,1,,,,,1,,,,,0,0,59.01,0,"Don't do too many at once, watch, need a machine ",Time,,1,24,1,1,,,,,,,,,0,0,52.004,0,"Bicycle, Always wear helment, add mirrors for better visibilty ",Precautions to riding a bicycle,1,,24,1,,,,1,,,,,,0,0,50.005,0,"It was very, I could have lasted longer, droplets",Pencil sharpening,,1,24,1,,1,,,,,,,,0,0,47.008,0,"getting a hang of my new machine, top half lit up, black squares",Trying to work a laptop,0,,24,1,,,,,,1,,,,0,0,46.006,0,"Wrapped it around the middle, firm but too tight, haven't done this in a while",Doing a task,,1,24,1,,,,,,,,,1,0,0,46.007,0,"Lincoln's vision, boy had no money, man towered over others",A boy growing up,,,24,1,,,1,,,,,,,0,0,46.005,0,"Pieces stuck to my clothes, indoor warming than outdoor, snowman",Building a snowman,1,,24,6,3,1,1,,,,,,,,,1,,1
R_3HFBRKBoFwze0l4,Default Response Set,9/4/16 21:16,9/4/16 21:39,1,1,Chrome,Macintosh,1440x900,22.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.016,0,2,24,1,1,,,,,1,,,,,1,0,0,58.996,0,Newspapers are better than magazines. A rock can act as an anchor. There are just these few simple things to remember when doing this activity.  / It is better to run first and then to walk.  / It can be a problem if too many people do this at the same time. ,no idea.,,1,24,1,1,,,,,,,,,0,0,44.008,0,"Financed by stolen jewels, our hero sets off. He and three sturdy sisters set off, sometimes through turbulent peaks and other times through large vastness. People told him about the edge, but winged messengers came down and signified his success. ",exploration,1,,24,1,,,,,,,,,1,0,0,58.996,0,"You have to put everything into piles, but you can just do one pile if you don't have many to do. If you don't have a machine, you have to go somewhere where there is one.  You put them in, then sit and watch them. After awhile, you put them in another machine and watch them go around. Then you can take them home and put them in their usual places, but after awhile they'll be used again.  Doing your laundry can be a pain. ",doing laundry,,,24,1,,,,,,,1,,,0,0,51.996,0,"Riding bike is a nice way to get around. You will probably want to be outdoors, and the weather is best if it's sunny and dry rather than windy and rainy. Beginners prefer smooth surfaces.  Straight paths are easier than curvy ones. / If you don't have a bike, you could borrow one from a friend. All moving parts need to be in working order. Protecting your head is a good idea. ",riding a bike,,,24,1,,,,,,,,1,,0,0,49.998,0,"The pizza smelled really good, and the writer wondered if it was too hot to touch, and whether they should open it.  / They pulled one piece, but couldn't separate it from the others, so they tried another one.  The cheese formed elastic fibers, so they exerted more force, which caused hot oil to splash on their hand.  They dropped the slice of pizza, figuring that they could hold out a few more minutes. ",hungry for pizza,,,24,1,,,,1,,,,,,0,0,46.996,0,"The newness of it was intimidating, and opening it seemed to break it in half, but the top and bottom sections held together. By pressing a black button, the top half came to life, and the more buttons were pressed on the bottom  half, the images on the top half changed. The writer gets used to their new machine. ",new computer,,1,24,1,,,1,,,,,,,0,0,45.998,0,"The writer hasn't changed a diaper in a while, so they figure it's time to do it. They took off the used one, and cleaned the mess up.  Then, they got a new diaper off the stack, secured the tabs, and checked the fit. The diaper was snug, but not too tight.  The writer hoped the cloth wouldn't leak. ",changing a diaper,1,,24,1,,,,,,1,,,,0,0,46.002,0,"He was aware of the fact that people had different opinions of him, and he felt the need to get people on his side. He felt his cause was just, which was to bridge differences in morals.  / When he was a boy he had no money, but as a man he towers over everyone is stature. / This man's legacy is felt by those that come after him. ",man and his legacy,,1,24,1,,1,,,,,,,,0,0,45.996,0,"The writer has been waiting for this season for awhile, and so he begins to gather his pieces until he has completed his snowman. Then he adds sticks and things. ",building a snowman,0,,24,3,2,2,1,,,,,,,,,1,,1
R_1IBjBTs8ivLUMMI,Default Response Set,9/4/16 21:19,9/4/16 21:43,1,1,Chrome,Windows NT 6.1,1680x1050,22.0.0,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,36.79,37.71,38.01,2,2,24,1,1,,1,,,,,,,,1,0,0,58.983,0,running is better than walking. a rock serves as an anchor. you need more room for this activity.,fishing or flying a kite,1,,24,1,,,,,,1,,,,0,0,43.976,0,The story was about a traveler who went through many peaks and valleys to complete his journey. He had three sisters. He was chasing success.,adventure,,1,24,1,,,,,,,1,,,0,0,59.021,0,First you take out your clothes. Put them into the the washer. watch them go around. take them out and soon you'll start the process over.,Doing Laundrey,,,24,1,,,,,1,,,,,49.145,49.145,52.006,1,With practice this could be an efficient way to move around. You could get a mirror for something.,flying,,1,24,1,1,,,,,,,,,0,0,50.005,0,The narrator was waiting for the pizza. They were hungry. Once it got there the narrator was thinking about the thin crust and if it was hot or not. The narrator tried to pick up a slice but it was too hot and tried for another but with more force. The narrator dropped the pizza and wasn't patient.,don't rush ,1,,24,1,,,,,,,,1,,0,0,47.006,0,It talk about how a computer worked such as how the typing of the keys caused certain things to happen on the screen such as the light turning off and going black.,observation of a computer,,,24,1,,,,1,,,,,,10.631,43.507,46.011,5,"It didn't show a video, it just kept loading.",N/A,,0,23,1,,,1,,,,,,,0,0,45.991,0,It was about a boy having a hard time choosing between two sides. He felt he had a responsibility to choose a side. He grew up learning and gaining power. He felt people were going to profit off of his vision.,Abraham Lincoln's tough decisions,1,,24,1,,,,,,,,,1,0,0,45.99,0,It was about how to make a snowman and how the snow was stuck to the narrator's hands.,making a snowman,,,24,6,3,1,,1,,,,,,,,1,,1
R_8wbVm1wVmwe6a2x,Default Response Set,9/4/16 21:56,9/4/16 22:29,1,1,Chrome,Macintosh,1280x800,22.0.0,0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.009,0,2,24,1,1,,,,,,,,,1,1,0,0,59.01,0,Some one is making a kite.  running is better than walking.  A newspaper is better than a magizine.  at the begining it is hard but you get the hang of it is pretty peaceful.  A rock can work as an anchor.  Rain will soak it.,Flying a Kite,,,24,1,,1,,,,,,,,0,0,44.01,0,A hero gets laughed at by people. He has two sisters and messagers who fly over mountains and valleys.,A superhero,1,,24,1,,,,,,1,,,,0,0,59.011,0,It is talking about seasons.  nothing would stay together.,snowlakes,,0,24,1,,,1,,,,,,,0,0,52.007,0,Its easier to do it on a sunny day rather than a rainy day.  It is easier to do it on straight aways rather than curves.  If you don't have one your own you can borrow someone else's make sure you just have one that fits you.,Driving,1,,24,1,,,,,,,1,,,0,0,50.01,0,I was so excited for the pizza. Once it arrived it was so colorful.  I wondered if it was too hot to tounch but i decided to try anyway.  Some of the oil splashed over the side and burned my hand,Pizza,,,24,1,,,,,1,,,,,0,0,47.005,0,the newness of it was intiditaing.  I thought it was going to break in half.  I moved a black one and a white one flashed,a checkerboard,,1,23,1,1,,,,,,,,,0,0,46.006,0,I removed the old one.  It had been a while since i did this task.  I took a new one of the top of the stack.  Unfolded it.  I took a damp cloth and cleaned up an mess.  I laid the new one flat the slide it under and undid the tabs and wrapped it around the middle.  It didn't look too lose or too tight.,Changing a diaper,1,,24,1,,,,1,,,,,,0,0,46.005,0,He was a poor boy but towered over people as a man in both stature and power.  He felt people where on two different sides and he had to pursade them to be on the same side.,A powerful man,,1,24,1,,,,,,,,1,,0,0,46.008,0,I couldn't wait for this season.  It seemed brighter outside than inside.  At first nothing seemed together but with a couple more tries I was able to make a snowman.,Making a Snowman,,,24,2,1,2,1,,,,,,,,,1,,1
R_CkUANziTFOxlTeF,Default Response Set,9/4/16 22:59,9/4/16 23:27,1,1,Chrome,Macintosh,1280x800,22.0.0,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.011,0,1,24,1,1,,1,,,,,,,,1,0,0,59.009,0,One needs loves of room. Birds seldom get too close. ,Flying a kite,1,,24,1,,,,,1,,,,,0,0,44.009,0,He pawned jewelry to finance his evil scheme. Cat. Many people doubted him. ,A man's plan,,1,24,1,,,1,,,,,,,0,0,59.008,0,"The whole thing can be done all over. Separate it into different groups. You have to stay in case something goes wrong. Then you take it out and put it in another machine. If you don't have the machine, you have to go somewhere that does.",Washing laundry,1,,24,1,,,,,,,,,1,0,0,52.009,0,A sunny day is better than a wet one. Straight is better than curvy. You need to make sure the suit fits you. If you do not have one then you can borrow a friends. Protecting your head keeps you safe. ,N/A,,,24,1,,,,,,1,,,,0,0,50.009,0,It seemed like I called forever. Finally it came. It smelled good. I touched it but it was hot Oil came and splashed on my hand. ,Hot food,,1,24,1,1,,,,,,,,,0,0,47.007,0,Hit the square and watch the screen come on. I heard a humming sound. It seemed to understand the me through moving my fingers on the bottom half.,A new computer,0,,24,1,,,,,,,,1,,0,0,46.006,0,It had been a while since I had last done this task and thought it was time to do it again. I took a fresh diaper off the stack and lay it flat. I took off the soiled one and threw it away. I put on the new one and fasten the tabs to make sure it was snug.,Changing a Diaper,,,24,1,,,,,,,1,,,0,0,46.008,0,"Descendants following in his footsteps reap the benefits of Abraham Lincoln. He knew that people were either on his side or against him. He felt a great responsibility to get everyone on his side. As a boy he had no money. As a man he towered over people in stature, in education and in power. ",Abraham Lincoln,,,24,1,,,,1,,,,,,0,0,46.011,0,Sneaker. I surveyed the conditions and they seemed right. It was brighter outside than inside. The matter started taking shape after a while. I surveyed my work.,A project,,1,24,2,1,2,,1,,,,,,,,1,,1
R_3dQva8X8hKXu5gM,Default Response Set,9/5/16 8:39,9/5/16 8:58,1,1,Firefox,Windows NT 10.0,1366x768,22.0.0,,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0,1,1,1,,1,0,0,38.227,0,4,24,1,1,,,,,,,,1,,1,1.878,59.052,59.457,3,A newspaper is better than a magazine.  It is better to run than walk.  Children can do it too.  Problems.  It is easier.  Rain.  ,Comparing and contrasting,,,24,1,,,,,1,,,,,41.938,44.303,44.43,2,He knew he was right.  Scheming. Cat picture.  Deceiving.,Scheming,,1,24,1,,,,,,,1,,,56.553,57.795,59.4,2,Doing you're laundry is not fun.  It is  a simple procedure.  You sort your clothes into piles.  If you do not have a lot one pile can be good enough.  If you don't have a machine you'll have to go somewhere else to do your laundry.  Then after you wash them you put them in another machine and watch them go round.  Then you take them out and sort them into piles again.  You organize them and put them back in their spots.  Soon these items will be used again and you will have to repeat this process.,How to do laundry,,,24,1,1,,,,,,,,,9.085,51.19,52.406,3,Bike picture.  Riding a bike is easier when it is nice outside and not wet or raining.  For beginners they will enjoy a flat surface.  Before biking you need to make sure all parts are in working condition.  ,Biking,1,,24,1,,,1,,,,,,,0,0,50.403,0,Scorched.  Hot.  Droplets.  Exerting energy.  Hand,Pizza,1,,24,1,,,,,,1,,,,0,0,47.461,0,Intimidating.  Black boxes.  Words.  Opening.  Pictures.  Book,Reading,,1,24,1,,,,,,,,,1,42.737,45.337,46.429,2,I knew it was time to do it again.  I undid the buttons.  Not too tight. ,Changing a diaper,,,24,1,,1,,,,,,,,5.217,46.364,46.466,7,At a young age he knew people were either on his side or against him.  He felt an obligation to persuade everyone to be on his side.  ,Abe Lincoln,1,,24,1,,,,1,,,,,,44.322,46.346,46.481,3,Compared.  Now my creation looked complete.  Molding.  Shaping.  Creating,Creation,,1,24,5,2,2,1,,,,,,,,,1,,1
R_30oCeP8tIF8Rc0J,Default Response Set,9/5/16 9:34,9/5/16 9:57,1,1,Chrome,Windows NT 10.0,1600x900,22.0.0,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36",1,1,1,,1,0,0,38.056,0,2,24,1,1,1,,,,,,,,,0,0,0,59.025,0,A newspaper is better than a magazine. A rock can be used as an anchor. Birds don't usually fly too close. It can be a problem if too many people are also doing the activity at the same time. ,Flying a Kite,1,,24,1,,,,,,,1,,,0,0,44.021,0,"Christoper Columbus knew he was right. With jewels financing him. Your eyes deceive, he said. Set sail with three sisters, days became weeks. Doubters became scornful.",Christoper Columbus Setting Sail for America,,,24,1,,,,,,,,1,,0,0,59.033,0,"The procedure is simple. You must first put things into groups. Put them into a machine. It is best to not put too many in at once. Doing your laundry. Place them into a different machine and watch the. Once they are done, you take them home and arrange them again. Soon they will all be used again.",Doing Laundry,,,24,1,,1,,,,,,,,0,0,52.026,0,"You would like to be outdoors. better than a windy or wet day. If you don't have your own you could borrow your friends. Make sure that the size fits your needs. You can also add mirrors for visibility. All moving parts should be in good working condition. Protecting your head is important. With practice, you  ... efficient way to get around.",Riding a Bike,1,,24,1,,,,1,,,,,,0,0,50.019,0,"It had been hours since I had called. Too hot, oil spilled. Elastic fibers. I could last for a few more minutes. ",A Candle,,1,24,1,,,,,,,,,1,0,0,47.016,0,The newness of it was intimidating. Pushing one black square -- flashing light. I waited. hands over,Unknown,,,24,1,,,,,1,,,,,0,0,46.015,0,"I knew it had been awhile since I had done this task. I took a soft, damp towel to clean up the mess. I took one from the top of the stack and unfolded it. I slid it under. It looked snug, but not too tight.",Cleaning Up a Mess,,1,24,1,,,,,,1,,,,0,0,46.025,0,"As a boy he had no money. As a man he towered over others in stature, in ... , and in power. His descendants reaped the benefits of this man's vision. ",A Man who Overcame Hardship,,1,24,1,,,1,,,,,,,0,0,46.016,0,,Unknown,0,,23,3,3,2,1,,,,,,,,,1,"I had one video paused so I could wait to begin it while I got a drink, but it skipped ahead on me and I was not able to watch it.",1
R_3kB8pIYGWU2jDlK,Default Response Set,9/5/16 9:32,9/5/16 10:07,1,1,Firefox,Macintosh,1280x800,22.0.0,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:47.0) Gecko/20100101 Firefox/47.0,1,1,1,,1,0,0,38.163,0,2,24,1,1,,,,1,,,,,,1,0,0,59.334,0,A magazine is better than a newspaper. running is better than walking at first. ,Not sure,,1,24,1,,,,,,1,,,,0,0,44.287,0,There was man. His fiances were due to him being a jewel thief. ,Not sure,,1,24,1,,1,,,,,,,,58.969,58.969,59.342,1,This paragraph was explaining how to use a washer and dryer. It talked about a system that you put clothes in. And how you had to stay and watch it. When that machine was done you put it in the next one. After that you took your clothes home sorted them and then put them in their usual place.,Doing Laundry,1,,24,1,,,,,,,1,,,0,0,52.498,0,This paragraph was about riding a bicycle. They suggested riding on a warm dry day rather than a rainy day. They also mentioned that riding on straight road would be easier than a curvy one. You can borrow a friends. You need one that suites your size. You can also put on reflectors. Once you learn how to ride it can be an easy way to get around.,Riding a bike,,,24,1,,,,,1,,,,,49.332,49.332,50.299,1,they were scared that it was to hot to touche. There was a picture of a pencil. ,Heat,,1,24,1,,,,,,,,,1,45.248,45.248,47.462,1,someone got a new laptop. When they started the computer they heard a light humming sound and saw bright colors. ,Starting a laptop,,,24,1,1,,,,,,,,,0,0,46.138,0,Diaper. Took off the diaper. Tried to clean up the mess. First wiped and then discarded the cloth.,Changing a dirty diaper,1,,24,1,,,,,,,,1,,0,0,46.32,0,A young man had a vision. People were not supportive. Abraham Lincoln. he believed his cause was justice.  ,Abraham Lincoln ,,,24,1,,,1,,,,,,,0,0,46.335,0,This paragraph was about building a snowman. They had to get more matter in order to finish the project. Once it was completed they felt accomplished and satisfied with their work.,Building a Snowman,0,,24,7,4,2,1,,,,,,,,,1,N/A,1
